排名,财富,姓名,性别,出生地,学历,学校,行业,公司,常驻地,年龄,财富变化,排名变化
1,3500.0,张一鸣,先生,中国-福建-龙岩,本科,南开大学,社交媒体,字节跳动,中国-北京,41,43%,4
2,3400.0,钟睒睒,先生,中国-浙江-绍兴,,,饮料、医疗保健,养生堂,中国-浙江-杭州,70,-24%,-1
3,3150.0,马化腾,先生,中国-海南,本科,深圳大学计算机与软件学院,互联网服务,腾讯,中国-广东-深圳,53,13%,-1
4,2450.0,黄峥,先生,中国-浙江-杭州,硕士,威斯康星大学麦迪逊分校,购物网站,拼多多,中国-上海,44,-9%,-1
5,2350.0,何享健,先生,中国-广东-佛山,,,家电制造,美的,中国-广东-佛山,82,18%,3
6,2000.0,曾毓群,先生,中国-福建-宁德,博士,,锂电池,宁德时代,中国-福建-宁德,56,-20%,-2
6,2000.0,丁磊,先生,中国-浙江-宁波,本科,电子科技大学,互联网技术,网易,中国-浙江-杭州,53,-17%,0
6,2000.0,李嘉诚、李泽钜,先生,中国-香港,,,投资,长江实业,中国-香港,96,-5%,1
9,1750.0,李兆基,先生,中国-广东-佛山,,,房地产,恒基兆业,中国-香港,96,9%,2
10,1650.0,马云,先生,中国-浙江-杭州,本科,杭州师范学院,电子商务、金融科技,阿里系,中国-浙江-杭州,60,-3%,0
11,1450.0,李书福,先生,中国-浙江-台州,博士,哈尔滨工业大学,汽车制造,吉利,中国-浙江-杭州,61,-17%,-2
11,1450.0,严昊,先生,中国-江苏-淮安,本科,,基础建设,太平洋建设,中国-江苏-南京,38,-3%,1
11,1450.0,张刚,先生,中国-山东-聊城,硕士,,电解铝、氧化铝,信发铝电,中国-山东-聊城,43,7%,5
14,1400.0,李蔡美灵,先生,中国-香港,,,调味品,李锦记,中国-香港,未知,0%,0
14,1400.0,吕向阳、张长虹,先生,中国-安徽-芜湖,,,投资,融捷,中国-广东-广州,61,0%,0
16,1350.0,秦英林、钱瑛,先生,中国-河南-南阳,本科,河南农业大学,畜牧,牧原,中国-河南-南阳,59,-7%,-3
16,1350.0,王传福,先生,中国-安徽-芜湖,本科,中南大学,汽车、充电电池,比亚迪,中国-广东-深圳,58,0%,0
16,1350.0,赵长鹏,先生,中国-江苏-连云港,本科,,虚拟货币交易所,币安,阿联酋迪拜,47,200%,81
19,1300.0,雷军,先生,中国-湖北-仙桃,本科,武汉大学,智能硬件与技术、投资,小米,中国-北京,55,38%,15
20,1250.0,陈建华、范红卫,先生,中国-江苏-苏州,硕士,,化纤、石化、房地产,恒力,中国-江苏-苏州,53,0%,0
20,1250.0,张志东,先生,中国-广东-东莞,硕士,华南理工大学,互联网服务,腾讯,中国-广东-深圳,52,14%,6
22,1200.0,刘永行、刘相宇,先生,中国-四川-成都,博士,西华大学,氧化铝、重化工、饲料,东方希望,中国-上海,76,-8%,-4
23,1100.0,王卫,先生,中国-上海,,,快递,顺丰,中国-香港,54,-12%,-3
23,1100.0,魏建军、韩雪娟,先生,中国-河北-保定,,,汽车制造,长城,中国-河北-保定,60,-8%,1
23,1100.0,郑淑良,先生,中国-山东,,,铝业、纺织,魏桥创业,中国-山东-滨州,78,31%,15
26,1000.0,李西廷,先生,中国-安徽-宿州,本科,中国科技大学,医疗器械,迈瑞,新加坡,73,0%,1
27,950.0,党彦宝,先生,,本科,,煤化工,宝丰,中国-宁夏-吴忠,51,0%,4
27,950.0,徐航,先生,中国-广东-广州,本科,清华大学,医疗器械、房地产,迈瑞、鹏瑞,中国-广东-深圳,62,-5%,0
27,950.0,郑家纯,先生,中国-香港,,,珠宝,周大福,中国-香港,76,-27%,-9
30,930.0,郭台铭,先生,中国-台湾-新北,,,电子制造,鸿海,中国-台湾-台北,74,55%,36
30,930.0,吴光正,先生,中国-上海,,,房地产,会德丰,中国-香港,78,-7%,-3
32,910.0,刘銮雄,先生,中国-香港,,,房地产,华人置业,中国-香港,73,-1%,3
33,890.0,黄世霖,先生,中国-福建-宁德,本科,,锂电池,宁德时代,中国-福建-宁德,57,-23%,-8
34,885.0,王兴,先生,中国-福建-龙岩,本科,清华大学,生活服务,美团,中国-北京,45,-29%,-14
35,870.0,庞康,先生,中国-广东-佛山,本科,,调味品,海天味业,中国-广东-佛山,68,9%,5
36,850.0,杜纪川,先生,中国-重庆,,,半导体,金士顿科技,美国-洛杉矶,83,6%,4
36,850.0,孙大卫,先生,中国-台湾-台北,,,半导体,金士顿科技,美国-洛杉矶,73,6%,4
38,810.0,林立,先生,中国-广东-河源,硕士,湖北工业大学,投资,立业,中国-广东-深圳,61,-10%,-2
38,810.0,宗馥莉,女士,,,,饮料,娃哈哈,中国-浙江-杭州,未知,-15%,-7
40,800.0,吕志和,先生,中国-香港,,,博彩,银河,中国-香港,95,-36%,-20
40,800.0,严彬,先生,中国-河南-新乡,,,饮料、地产,华彬,中国-北京,70,-20%,-13
42,770.0,钟慧娟,女士,,,,医药,翰森,中国-上海,63,83%,69
43,750.0,李泽楷,先生,中国-香港,,,电信,电讯盈科,中国-香港,58,-3%,1
44,730.0,蔡浩宇,先生,中国-山东-济南,,,游戏,米哈游,中国-上海,37,9%,11
45,720.0,张聪渊,先生,中国-台湾-桃园,,,鞋业,华利实业,中国-广东-中山,76,24%,26
46,700.0,刘汉元、管亚梅,先生,中国-四川-眉山,,北大光华管理学院,新能源、农业,通威,中国-四川-成都,60,-26%,-15
47,695.0,林百里,先生,中国-上海,,,消费电子产品,广达电脑,中国-台湾-桃园,75,10%,12
48,690.0,刘永好,先生,中国-四川-成都,,四川工程职业技术学院,农业、化工、金融,新希望,中国-四川-成都,73,-20%,-11
49,680.0,蔡崇信,先生,中国-台湾,,,电子商务、金融科技,阿里系,中国-香港,60,42%,37
50,670.0,陈东升,先生,中国-湖北-荆门,博士,武汉大学,保险,泰康,中国-北京,67,-4%,0
50,670.0,项光达,先生,中国-浙江-温州,,,钢铁,青山控股,中国-浙江-温州,66,97%,94
50,670.0,于泳,先生,,,,钼矿,鸿商产业,中国-上海,未知,6%,9
50,670.0,张国华,先生,中国-台湾-台北,,,物流、钢铁,长荣集团,中国-台湾-台北,69,38%,35
54,665.0,邝肖卿,女士,中国-香港,,,房地产,新鸿基,中国-香港,95,-8%,-8
55,650.0,孙飘扬,先生,中国-江苏-镇江,硕士,南京大学,医药,恒瑞,中国-上海,66,7%,9
56,635.0,周群飞、郑俊龙,女士,中国-湖南-湘潭,,,电子器件制造,蓝思科技,中国-湖南-长沙,54,40%,36
57,630.0,王来胜、王雅媛,先生,中国-广东-汕头,,,消费电子,立讯精密,中国-广东-深圳,60,17%,19
57,630.0,徐浩宇,先生,中国-江苏-泰州,,,医药,扬子江药业,中国-江苏-泰州,52,5%,9
59,620.0,王来春,女士,中国-广东-汕头,,清华大学深圳研究生院,消费电子,立讯精密,中国-广东-深圳,57,17%,18
59,620.0,朱保国,先生,中国-河南-新乡,硕士,河南师范大学,医药,健康元,中国-广东-深圳,62,-3%,-1
61,615.0,龚虹嘉、陈春梅,先生,,本科,华中科技大学,视频监控产品,海康威视,中国-香港,59,-13%,-14
62,610.0,岑均达,先生,,,,医药,恒瑞、翰森,中国-江苏-连云港,未知,22%,17
63,600.0,梁稳根、梁在中,先生,中国-湖南-娄底,本科,中南大学,重型机械,三一,中国-湖南-长沙,68,-15%,-16
63,600.0,王玉锁、赵宝菊,先生,中国-河北-廊坊,硕士,天津财经大学,天然气、能源化工,新奥,中国-河北-廊坊,60,9%,12
65,590.0,陈天桥、雒芊芊,先生,中国-浙江-绍兴,本科,复旦大学,投资,盛大,新加坡,51,11%,12
65,590.0,汪俊林,先生,中国-四川-眉山,本科,泸州医学院（西南医科大学）,白酒,郎酒,中国-四川-成都,62,-17%,-18
67,575.0,杜双华,先生,中国-河北-衡水,,,钢铁,日照钢铁,中国-山东-日照,59,1%,6
68,550.0,陈丽华,女士,中国-北京,博士,美国佐治亚州萨凡那艺术设计学院,房地产、紫檀博物馆,富华,中国-北京,83,-5%,3
68,550.0,李水荣,先生,中国-浙江,,,化纤,荣盛控股,中国-浙江-杭州,68,-19%,-15
70,540.0,张勇、舒萍,先生,中国-四川-成都,,,餐饮,海底捞,新加坡,53,-28%,-25
71,525.0,李彦宏、马东敏,先生,中国-山西-阳泉,硕士,布法罗纽约州立大学,网络信息服务,百度,中国-北京,56,-36%,-32
72,520.0,曹仁贤、苏蕾,先生,中国-浙江-杭州,硕士,,光伏设备,阳光电源,中国-安徽-合肥,56,8%,14
72,520.0,刘强东、章泽天,先生,中国-江苏-宿迁,本科,中国人民大学,电子商务、金融,京东,中国-北京,50,-13%,-6
74,510.0,林木勤、林煜鹏,先生,中国-广东-深圳,,,食品饮料,东鹏饮料,中国-广东-深圳,60,17%,34
74,510.0,朱义,先生,,,,医药,百利天恒,中国-成都,61,89%,114
76,500.0,汪立平,先生,中国-江苏-无锡,,,高压油缸,恒立液压,中国-江苏-常州,58,-18%,-12
76,500.0,许仰天,先生,山东-淄博,,,电商,希音,中国-广东-广州,40,0%,3
76,500.0,严昕,女士,中国-江苏-淮安,,,基础设施建设,苏商,中国-江苏-淮安,41,6%,13
79,490.0,林斌,先生,,硕士,美国费城Drexel大学,智能硬件与技术,小米,中国-北京,56,42%,61
79,490.0,罗立国,先生,中国-浙江-宁波,,,硅材料,合盛,中国-浙江-宁波,68,-18%,-13
79,490.0,吴亚军,女士,中国-重庆,本科,西北工业大学,房地产,龙湖,中国-北京,60,-26%,-22
