title,authors,year,conference,link
MVTN: Multi-View Transformation Network for 3D Shape Recognition.,"['Abdullah Hamdi', 'Silvio Giancola', 'Bernard Ghanem']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00007
GLiT: Neural Architecture Search for Global and Local Image Transformer.,"['Boyu Chen', 'Peixia Li', 'Chuming Li', 'Baopu Li', 'Lei Bai', 'Chen Lin', 'Ming Sun', 'Junjie Yan', 'Wanli Ouyang']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00008
CvT: Introducing Convolutions to Vision Transformers.,"['Haiping Wu', 'Bin Xiao', 'Noel Codella', 'Mengchen Liu', 'Xiyang Dai', 'Lu Yuan', 'Lei Zhang']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00009
Going deeper with Image Transformers.,"['Hugo Touvron', 'Matthieu Cord', 'Alexandre Sablayrolles', 'Gabriel Synnaeve', 'Hervé Jégou']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00010
DTMNet: A Discrete Tchebichef Moments-based Deep Neural Network for Multi-focus Image Fusion.,"['Bin Xiao', 'Haifeng Wu', 'Xiuli Bi']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00011
CrossNorm and SelfNorm for Generalization under Distribution Shifts.,"['Zhiqiang Tang', 'Yunhe Gao', 'Yi Zhu', 'Zhi Zhang', 'Mu Li', 'Dimitris N. Metaxas']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00012
NGC: A Unified Framework for Learning with Open-World Noisy Data.,"['Zhi-Fan Wu', 'Tong Wei', 'Jianwen Jiang', 'Chaojie Mao', 'Mingqian Tang', 'Yufeng Li']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00013
Learning with Noisy Labels via Sparse Regularization.,"['Xiong Zhou', 'Xianming Liu', 'Chenyang Wang', 'Deming Zhai', 'Junjun Jiang', 'Xiangyang Ji']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00014
Asymmetric Loss For Multi-Label Classification.,"['Tal Ridnik', 'Emanuel Ben Baruch', 'Nadav Zamir', 'Asaf Noy', 'Itamar Friedman', 'Matan Protter', 'Lihi Zelnik-Manor']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00015
Procrustean Training for Imbalanced Deep Learning.,"['Han-Jia Ye', 'De-Chuan Zhan', 'Wei-Lun Chao']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00016
Conditional Variational Capsule Network for Open Set Recognition.,"['Yunrui Guo', 'Guglielmo Camporese', 'Wenjing Yang', 'Alessandro Sperduti', 'Lamberto Ballan']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00017
ACE: Ally Complementary Experts for Solving Long-Tailed Recognition in One-Shot.,"['Jiarui Cai', 'Yizhou Wang', 'Jenq-Neng Hwang']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00018
FREE: Feature Refinement for Generalized Zero-Shot Learning.,"['Shiming Chen', 'Wenjie Wang', 'Beihao Xia', 'Qinmu Peng', 'Xinge You', 'Feng Zheng', 'Ling Shao']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00019
Online Refinement of Low-level Feature Based Activation Map for Weakly Supervised Object Localization.,"['Jinheng Xie', 'Cheng Luo', 'Xiangping Zhu', 'Ziqi Jin', 'Weizeng Lu', 'Linlin Shen']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00020
"Z-Score Normalization, Hubness, and Few-Shot Learning.","['Nanyi Fei', 'Yizhao Gao', 'Zhiwu Lu', 'Tao Xiang']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00021
Spatio-Temporal Representation Factorization for Video-based Person Re-Identification.,"['Abhishek Aich', 'Meng Zheng', 'Srikrishna Karanam', 'Terrence Chen', 'Amit K. Roy-Chowdhury', 'Ziyan Wu']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00022
Transformer-based Dual Relation Graph for Multi-label Image Recognition.,"['Jiawei Zhao', 'Ke Yan', 'Yifan Zhao', 'Xiaowei Guo', 'Feiyue Huang', 'Jia Li']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00023
Dance with Self-Attention: A New Look of Conditional Random Fields on Anomaly Detection in Videos.,"['Didik Purwanto', 'Yie-Tarng Chen', 'Wen-Hsien Fang']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00024
Residual Attention: A Simple but Effective Method for Multi-Label Recognition.,"['Ke Zhu', 'Jianxin Wu']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00025
