title,authors,year,conference,link
An Algorithm for Multi-Attribute Diverse Matching.,"['Saba Ahmadi', 'Faez Ahmed', 'John P. Dickerson', 'Mark D. Fuge', 'Samir Khuller']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/1
Intention Progression under Uncertainty.,"['Yuan Yao', 'Natasha Alechina', 'Brian Logan', 'John Thangarajah']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/2
"Social Ranking Manipulability for the CP-Majority, Banzhaf and Lexicographic Excellence Solutions.","['Tahar Allouche', 'Bruno Escoffier', 'Stefano Moretti', 'Meltem Öztürk']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/3
Maximum Nash Welfare and Other Stories About EFX.,"['Georgios Amanatidis', 'Georgios Birmpas', 'Aris Filos-Ratsikas', 'Alexandros Hollender', 'Alexandros A. Voudouris']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/4
Speeding Up Incomplete GDL-based Algorithms for Multi-agent Optimization with Dense Local Utilities.,"['Yanchen Deng', 'Bo An']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/5
Almost Group Envy-free Allocation of Indivisible Goods and Chores.,"['Haris Aziz', 'Simon Rey']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/6
Uniform Welfare Guarantees Under Identical Subadditive Valuations.,"['Siddharth Barman', 'Ranjani G. Sundaram']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/7
Biased Opinion Dynamics: When the Devil is in the Details.,"['Aris Anagnostopoulos', 'Luca Becchetti', 'Emilio Cruciani', 'Francesco Pasquale', 'Sara Rizzo']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/8
Formalizing Group and Propagated Trust in Multi-Agent Systems.,"['Nagat Drawel', 'Jamal Bentahar', 'Amine Laarej', 'Gaith Rjoub']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/9
Fine-Grained View on Bribery for Group Identification.,"['Niclas Boehmer', 'Robert Bredereck', 'Dusan Knop', 'Junjie Luo']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/10
Evaluating Approval-Based Multiwinner Voting in Terms of Robustness to Noise.,"['Ioannis Caragiannis', 'Christos Kaklamanis', 'Nikos Karanikolas', 'George A. Krimpas']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/11
Decentralized MCTS via Learned Teammate Models.,"['Aleksander Czechowski', 'Frans A. Oliehoek']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/12
On the Complexity of Winner Verification and Candidate Winner for Multiwinner Voting Rules.,"['Chinmay Sonar', 'Palash Dey', 'Neeldhara Misra']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/13
Stable Roommate Problem with Diversity Preferences.,"['Niclas Boehmer', 'Edith Elkind']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/14
Strategic Campaign Management in Apportionment Elections.,"['Robert Bredereck', 'Piotr Faliszewski', 'Michal Furdyna', 'Andrzej Kaczmarczyk', 'Martin Lackner']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/15
Concentration of Distortion: The Value of Extra Voters in Randomized Social Choice.,"['Brandon Fain', 'William Fan', 'Kamesh Munagala']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/16
Assume-Guarantee Synthesis for Prompt Linear Temporal Logic.,"['Nathanaël Fijalkow', 'Bastien Maubert', 'Aniello Murano', 'Moshe Y. Vardi']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/17
Peer-Prediction in the Presence of Outcome Dependent Lying Incentives.,"['Naman Goel', 'Aris Filos-Ratsikas', 'Boi Faltings']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/18
Proportionality in Approval-Based Elections With a Variable Number of Winners.,"['Rupert Freeman', 'Anson Kahng', 'David M. Pennock']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/19
Flow-Based Network Creation Games.,"['Hagen Echzell', 'Tobias Friedrich', 'Pascal Lenzner', 'Anna Melnichenko']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/20
Stable Matchings with Diversity Constraints: Affirmative Action is beyond NP.,"['Jiehua Chen', 'Robert Ganian', 'Thekla Hamm']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/21
Mechanism Design for School Choice with Soft Diversity Constraints.,"['Haris Aziz', 'Serge Gaspers', 'Zhaohong Sun']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/22
Maximizing Welfare with Incentive-Aware Evaluation Mechanisms.,"['Nika Haghtalab', 'Nicole Immorlica', 'Brendan Lucier', 'Jack Z. Wang']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/23
"Ethics, Prosperity, and Society: Moral Evaluation Using Virtue Ethics and Utilitarianism.","['Aditya Hegde', 'Vibhav Agarwal', 'Shrisha Rao']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/24
Prophet Inequalities for Bayesian Persuasion.,"['Niklas Hahn', 'Martin Hoefer', 'Rann Smorodinsky']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/25
Fair Division of Time: Multi-layered Cake Cutting.,"['Hadi Hosseini', 'Ayumi Igarashi', 'Andrew Searns']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/26
Well-Structured Committees.,"['Sushmita Gupta', 'Pallavi Jain', 'Saket Saurabh']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/27
Evaluating Committees for Representative Democracies: the Distortion and Beyond.,"['Michal Jaworski', 'Piotr Skowron']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/28
The Complexity of Election Problems with Group-Separable Preferences.,"['Piotr Faliszewski', 'Alexander Karpov', 'Svetlana Obraztsova']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/29
Logics of Allies and Enemies: A Formal Approach to the Dynamics of Social Balance Theory.,"['Wiebe van der Hoek', 'Louwe B. Kuijer', 'Yì N. Wáng']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/30
Synthesis of Deceptive Strategies in Reachability Games with Action Misperception.,"['Abhishek Ninad Kulkarni', 'Jie Fu']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/31
Selecting Voting Locations for Fun and Profit.,"['Zack Fitzsimmons', 'Omer Lev']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/32
Incentive-Compatible Diffusion Auctions.,"['Bin Li', 'Dong Hao', 'Dengji Zhao']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/33
Strategyproof Mechanism for Two Heterogeneous Facilities with Constant Approximation Ratio.,"['Minming Li', 'Pinyan Lu', 'Yuhao Yao', 'Jialin Zhang']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/34
Dinkelbach-Type Algorithm for Computing Quantal Stackelberg Equilibrium.,"['Jakub Cerný', 'Viliam Lisý', 'Branislav Bosanský', 'Bo An']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/35
A Penny for Your Thoughts: The Value of Communication in Ad Hoc Teamwork.,"['Reuth Mirsky', 'William Macke', 'Andy Wang', 'Harel Yedidsion', 'Peter Stone']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/36
Convexity of b-matching Games.,"['Soh Kumabe', 'Takanori Maehara']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/37
Learning Optimal Temperature Region for Solving Mixed Integer Functional DCOPs.,"['Saaduddin Mahmud', 'Md. Mosaddek Khan', 'Moumita Choudhury', 'Long Tran-Thanh', 'Nicholas R. Jennings']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/38
Tight Approximation for Proportional Approval Voting.,"['Szymon Dudycz', 'Pasin Manurangsi', 'Jan Marcinkowski', 'Krzysztof Sornat']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/39
Partial Adversarial Behavior Deception in Security Games.,"['Thanh Hong Nguyen', 'Arunesh Sinha', 'He He']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/40
Approximate Pareto Set for Fair and Efficient Allocation: Few Agent Types or Few Resource Types.,"['Trung Thanh Nguyen', 'Jörg Rothe']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/41
A Deep Reinforcement Learning Approach to Concurrent Bilateral Negotiation.,"['Pallavi Bagga', 'Nicola Paoletti', 'Bedour Alrayes', 'Kostas Stathis']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/42
Computational Aspects of Conditional Minisum Approval Voting in Elections with Interdependent Issues.,"['Evangelos Markakis', 'Georgios Papasotiropoulos']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/43
Combining Direct Trust and Indirect Trust in Multi-Agent Systems.,"['Elham Parhizkar', 'Mohammad Hossein Nikravan', 'Robert C. Holte', 'Sandra Zilles']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/44
Keeping Your Friends Close: Land Allocation with Friends.,"['Edith Elkind', 'Neel Patel', 'Alan Tsang', 'Yair Zick']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/45
Verifying Fault-Tolerance in Probabilistic Swarm Systems.,"['Alessio Lomuscio', 'Edoardo Pirovano']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/46
Efficient Algorithms for Learning Revenue-Maximizing Two-Part Tariffs.,"['Maria-Florina Balcan', 'Siddharth Prasad', 'Tuomas Sandholm']",2020,IJCAI 2020,https://doi.org/10.24963/ijcai.2020/47
