日期,白天天气,夜间天气,最高温度,最低温度,白天风力,夜间风力
2025-01-01,晴,晴,4,-3,东北风 3-4级,东北风 3-4级
2025-01-02,晴,晴,0,-3,北风 4-5级,西北风 4-5级
2025-01-03,晴,晴,2,-3,西北风 3-4级,西南风 3-4级
2025-01-04,晴,多云,6,0,西南风 4-5级,西南风 4-5级
2025-01-05,多云,晴,5,-5,西北风 4-5级,北风 4-5级
2025-01-06,晴,晴,-1,-5,西北风 4-5级,西北风 4-5级
2025-01-07,多云,多云,0,-7,西北风 4-5级,北风 4-5级
2025-01-08,多云,多云,-5,-10,北风 4-5级,北风 4-5级
2025-01-09,多云,晴,-5,-11,北风 4-5级,北风 4-5级
2025-01-10,晴,晴,-4,-7,北风 4-5级,北风 3-4级
2025-01-11,多云,多云,1,-6,北风 3-4级,北风 3-4级
2025-01-12,晴,多云,1,-5,西风 3-4级,西风 3-4级
2025-01-13,晴,晴,4,-4,西南风 3-4级,北风 3-4级
2025-01-14,多云,晴,0,-6,北风 4-5级,北风 4-5级
2025-01-15,晴,晴,2,-6,北风 4-5级,西风 4-5级
2025-01-16,晴,晴,4,-2,北风 4-5级,北风 3-4级
2025-01-17,晴,晴,7,1,西南风 4-5级,西南风 3-4级
2025-01-18,晴,晴,7,-1,西南风 4-5级,北风 3-4级
2025-01-19,晴,晴,5,-1,北风 3-4级,北风 3-4级
2025-01-20,晴,晴,7,0,西北风 3-4级,西南风 3-4级
2025-01-21,晴,晴,5,-2,北风 3-4级,北风 3-4级
2025-01-22,晴,晴,4,-2,北风 1-3级,东北风 3-4级
2025-01-23,晴,晴,5,0,东南风 3-4级,东南风 3-4级
2025-01-24,晴,晴,6,-2,北风 3-4级,北风 3-4级
2025-01-25,晴,多云,4,-1,北风 3-4级,北风 3-4级
2025-01-26,小雪,中到大雪,3,-5,南风 3-4级,北风 5-6级
2025-01-27,小雪,阴,-5,-7,西北风 5-6级,西北风 4-5级
2025-01-28,多云,晴,-6,-9,西北风 4-5级,西北风 4-5级
2025-01-29,晴,晴,-5,-9,西北风 3-4级,东北风 3-4级
