专家名字,彩龄,发文量,大乐透一等奖次数,大乐透二等奖次数,大乐透三等奖次数,最近10次大乐透平均得分
拉索,8,683,3,5,4,278.0
西子彩民,8,1332,10,6,19,416.5
叫我红姐,10,401,1,0,1,191.0
自来水高层,8,307,,,,0.0
定乾坤,9,1871,3,5,1,272.0
张友稔,5,822,4,3,1,266.5
九个太阳001,9,1255,1,1,22,186.0
年年来喜,7,2502,3,4,6,158.0
小财眠眠,10,1844,1,3,5,232.5
海中心,13,2874,3,2,8,210.0
诺先生,15,220,1,2,2,433.5
化骨绵掌,9,1937,,,,0.0
胆胆一点通,9,3293,7,3,16,269.0
国步龙腾,7,2512,2,4,10,168.5
qinyour888,20,14729,4,5,28,196.5
文心,6,691,1,2,6,242.0
金胆专业户,6,338,0,1,3,158.5
乐一哈,5,1418,0,4,2,188.5
羊城幸运星,15,772,3,3,8,178.5
东方强,11,539,0,2,1,218.0
黄皮虎,20,2383,2,5,10,154.0
张翼成,11,492,1,0,3,119.0
雷乌斯,8,634,1,3,4,216.0
银元宝,8,695,6,2,11,154.5
五斗米,8,783,1,1,8,170.5
江流儿,6,897,4,6,16,211.5
神十三,10,1578,7,6,20,225.5
妙笔生花,6,4717,2,3,14,231.0
烟雨风尘,10,5060,8,7,16,276.5
阳明王,9,1246,5,5,15,260.0
关二爷,9,1312,7,4,17,168.0
李德胜,11,1411,5,2,22,179.5
宝哥分析,13,1276,2,0,12,239.0
老炮荐胆,10,177,1,1,1,229.5
天龙一算,15,789,1,1,1,153.0
幸运魔码师,18,661,1,3,1,331.0
清风明月,12,729,1,1,0,268.5
咸鱼翻身,12,982,1,5,3,149.0
华悦解盘,10,372,0,1,2,271.5
百灵鸟,7,1784,1,5,2,208.5
财高幸运星,6,2117,1,6,3,195.0
路漫漫,10,2139,2,6,3,213.5
彩王,8,1739,3,1,7,239.0
六哥心中有数,10,961,1,4,3,153.5
小钱生大钱,1,2338,3,3,6,243.0
竹报三多,1,2410,1,4,6,108.0
斗彩,7,1111,2,2,6,264.0
老如松柏,9,1977,2,2,9,458.5
通天塔下的少年,10,2654,3,9,9,325.0
独孤一荐,8,584,1,0,2,191.0
紫薇花开,12,2306,3,4,11,159.0
光彩人神往,15,2765,3,6,15,191.5
虚云,12,801,7,9,19,174.0
星凯,6,2066,3,5,14,212.0
元遐,10,1466,4,2,6,170.5
坊邱,9,1282,,,,0.0
清光雨,10,1297,,,,0.0
鹤仙人,1,2245,,,,0.0
浪人看彩,7,879,3,1,7,160.5
彩运亨通666,6,1744,,,,0.0
老黄道彩,6,888,3,3,11,153.5
想的太多,5,891,6,2,11,171.0
三河彩神,6,910,4,2,11,99.5
丝雨如愁,8,2440,2,4,11,260.0
御风追梦,5,2506,1,6,13,147.0
精彩人生009,1,2516,,,,0.0
路遥知马力,7,931,8,1,13,246.5
东方太阳,13,2233,4,3,8,166.5
东方爱彩,7,940,3,4,22,136.5
万里飘红,15,2273,3,2,10,129.0
乐透话事人,6,477,3,4,11,165.5
九桐,13,2163,4,6,11,176.5
彩落我家001,10,1188,,,,100.0
华生说彩,10,1673,2,3,18,180.5
小胖子看彩,8,926,3,3,17,193.0
哥德巴赫,10,2710,1,5,11,203.0
一起中奖吧,20,961,5,5,22,201.0
彩灵通,7,1022,9,2,17,199.5
一点彩,1,2455,2,6,15,196.5
二小看彩,7,973,3,6,13,189.5
中奖无数,10,1051,1,7,17,236.5
南宫烈火,20,2349,1,2,14,159.5
喜提大奖,3,4616,8,1,18,223.0
狐假虎威,12,4589,5,5,24,176.5
实战高手,8,1113,7,6,12,375.0
白雪诺,7,2760,8,3,21,229.5
武英级,9,2754,5,2,13,149.5
西土瓦,6,4715,6,8,20,245.0
风云榜,5,4708,4,5,16,224.5
封神人,12,2578,3,3,22,188.0
年轻一号,9,2658,3,5,17,268.0
大成子,8,1145,6,6,14,135.0
水上合彩,15,3336,2,4,15,281.0
通彩师,13,3369,7,7,13,167.0
龙飞凤,9,3341,7,3,18,249.0
预测先知,8,3049,4,5,18,247.5
海绵,8,3376,5,9,21,247.5
易乾坤,8,3392,8,4,19,173.0
意志坚定,9,3380,5,4,18,145.0
坚定不移,8,3352,4,4,19,194.0
一等奖博主,13,4915,6,4,15,205.5
须弥真言,18,5057,8,5,15,222.5
时崎狂三,16,1216,3,0,18,155.0
唐仁探彩,8,1008,3,5,7,185.5
江小白,8,1307,7,4,21,423.5
喜逢秋起,7,3744,9,3,25,192.5
老谢论彩,10,1249,1,1,18,212.5
红豆南国,8,3760,5,2,22,194.5
非常零距离,10,1420,3,6,32,312.0
身手不凡,16,1423,9,3,18,203.5
曹孟德,10,1443,3,4,17,175.5
点击王,6,3982,2,4,23,135.5
彩票龙,8,4190,3,2,13,226.5
金色燕子,12,3905,6,4,24,216.0
dlgjhy,12,4327,7,4,23,245.0
拾忆,11,7160,5,3,32,199.5
AAA耀阳,13,6090,7,7,27,244.5
天降福神,3,1913,14,1,22,153.5
13055,10,11714,8,7,22,219.5
金秋果,8,11724,7,7,21,133.5
经典彩老,10,7094,2,4,17,156.5
彩鑫子,8,7083,3,3,23,211.5
金豆智选,10,396,2,3,3,196.5
豆豆,4,341,0,1,0,189.0
道玉,8,700,1,3,2,333.0
快乐西西,10,857,0,4,3,227.0
古灵精怪王,30,466,,,,0.0
逆水寒,10,966,1,6,1,255.5
赢满贯,9,162,0,4,0,247.5
巴图鲁,6,815,0,7,4,173.0
运到财到,5,1453,,,,0.0
大漠金湖,30,283,,,,0.0
鸡鸣东方,9,1059,1,3,3,214.5
幸运来敲门,7,1213,2,2,5,160.5
勇往直前,6,1793,1,3,5,142.5
西粉坊,14,1677,0,4,0,143.5
有财灵,20,1884,0,1,1,153.5
火凤凰,20,1383,5,8,5,246.5
艺手遮天,19,2109,4,8,4,145.5
宝藏猎人,10,1905,3,4,4,191.5
优优球,7,1720,1,2,6,159.0
锦鲤财神,10,2106,3,2,9,232.0
金财运,5,2109,2,10,1,126.0
功成名就,10,2158,2,1,5,164.5
好运永相随,1,2380,0,4,2,206.5
彩客天涯,8,2462,3,5,8,226.0
三洋,5,1106,2,6,7,198.0
八方来彩,6,1109,3,0,10,226.5
普大帝,7,1104,2,4,11,137.5
喜气盈门,8,2522,2,4,8,212.0
洪哥指南,16,395,0,0,1,70.5
乐猜猜,6,1114,1,8,4,204.5
李拽拽,8,431,0,1,1,232.0
可可姐姐,12,2579,3,6,10,155.5
拔剑西来,8,1685,,,,0.0
羊脂玉,8,695,5,4,8,234.0
孔雀河,7,695,3,7,9,211.5
陆小风,13,731,1,0,3,223.0
周公梦彩,8,1366,3,6,9,206.5
哈喽摩托,7,1791,,,,0.0
毕十三,7,511,0,0,6,180.5
